PublicHoliday;Date
New Year Day;01.01.2020
Good Friday;10.04.2020
Easter Sunday;12.04.2020
Easter Monday;13.04.2020
King Day;27.04.2020
Liberation Day;05.05.2020
Ascension Day;21.05.2020
Whit Sunday;31.05.2020
Whit Monday;01.06.2020
Christmas Day;25.12.2020
Boxing Day;26.12.2020
New Year Day;01.01.2021
Good Friday;02.04.2021
Easter Sunday;04.04.2021
Easter Monday;05.04.2021
King Day;27.04.2021
Liberation Day;05.05.2021
Ascension Day;13.05.2021
Whit Sunday;23.05.2021
Whit Monday;24.05.2021
Christmas Day;25.12.2021
Boxing Day;26.12.2021
New Year Day;01.01.2022
Good Friday;15.04.2022
Easter Sunday;17.04.2022
Easter Monday;18.04.2022
King Day;27.04.2022
Liberation Day;05.05.2022
Ascension Day;26.05.2022
Whit Sunday;05.06.2022
Whit Monday;06.06.2022
Christmas Day;25.12.2022
Boxing Day;26.12.2022
New Year Day;01.01.2023
Good Friday;07.04.2023
Easter Sunday;09.04.2023
Easter Monday;10.04.2023
King Day;27.04.2023
Liberation Day;05.05.2023
Ascension Day;18.05.2023
Whit Sunday;28.05.2023
Whit Monday;29.05.2023
Christmas Day;25.12.2023
Boxing Day;26.12.2023
